Symbol,Status,Records Downloaded
XPH,Success,4607
QID,Success,4593
HSD.TO,Success,1416
SVOL,Success,859
EAGG,Success,1501
XCS7.L,Success,625
IEAC.L,Success,3950
FPE,Success,2936
TWM,Success,4459
36BZ.DE,Success,2422
ITB,Success,4640
ETH,Success,57
LNGA.L,Success,4190
3BRS.MI,Success,2289
SGOL,Success,3798
SPLV,Success,3381
SDHA.L,Success,1591
FIXD,Success,1926
SMH,Success,6127
DBPD.DE,Success,3705
SAWD.L,Success,1509
IOZ.AX,Success,3505
GSC,Success,3894
VGLT,Success,3737
FLXC.L,Success,1354
IESU.L,Success,2245
SCHI,Success,1259
EFV,Success,4828
GDXU,Success,969
UDOW,Success,3691
EWY,Success,6142
HOU.TO,Success,4201
CIBR,Success,2333
SDS,Success,4593
MVOL.L,Success,3000
PULS,Success,6785
XLI,Success,6492
PDBC,Success,2497
2823.HK,Success,4906
5QQQ.L,Success,602
SPSM,Success,3183
7226.HK,Success,943
IAU,Success,4959
SVIX,Success,637
3191.HK,Success,1029
DPST,Success,2302
2845.HK,Success,1166
USHY,Success,1750
7299.HK,Success,1071
RDVY,Success,2709
UBT,Success,3706
ESAP.DE,Success,4127
JEPI,Success,1105
AAPU,Success,547
BUFR,Success,1049
XONE,Success,2729
XSXD.L,Success,593
FLJP,Success,1743
JDST,Success,2774
RWM,Success,4459
JEPQ,Success,613
BANKBEES.NS,Success,4664
UC97.L,Success,2330
GDX,Success,4629
QDVE.DE,Success,2248
SPTL,Success,4373
PFFA,Success,1612
OIH,Success,5944
TSLZ,Success,246
REMX,Success,3511
COMM.L,Success,1828
BSLNIFTY.NS,Success,3373
PGX,Success,4203
0XC5.IL,Success,1405
MAFANG.NS,Success,848
NIFTYBEES.NS,Success,5606
SCHH,Success,3458
USD,Success,4454
OMXS.L,Success,1974
IQLT,Success,2451
XSPD.L,Success,4229
ICLN,Success,4102
BOXX,Success,449
PLTS.L,Success,842
VTWO,Success,3537
SXLF.L,Success,2345
RYLD,Success,1379
CONY,Success,292
XPE3.L,Success,591
FNDX,Success,2808
DIA,Success,6726
7300.HK,Success,1867
KBWB,Success,3256
NVDD,Success,273
PYLD,Success,329
SPTI,Success,4373
VDPA.L,Success,1425
IS04.DE,Success,2476
BX4.PA,Success,4295
EMB,Success,4231
FEZ,Success,5531
ITEK.L,Success,1518
SLV,Success,4645
