Symbol,Volume,Status
IVVW,7265,Fail
SNPG,342,Fail
XB,688,Fail
PSFO,2289,Fail
KOCT,69930,Fail
CLOU,202378,Pass
FDM,1700,Fail
SPYK.DE,256,Fail
USCL,187,Fail
TUSB.TO,2100,Fail
THYF,2206,Fail
AIA,113900,Fail
GMAR,4834,Fail
ISEP,5500,Fail
174360.KS,7575,Fail
104520.KS,180,Fail
CYBR.L,328,Fail
EACL.NE,0,Fail
DISS.L,0,Fail
LGJP.L,1,Fail
IBTL,39018,Fail
36BA.DE,87119,Fail
ITDD,13402,Fail
DFSV,345137,Pass
VETS,0,Fail
KOLD,1363000,Pass
LOWC,0,Fail
IBDC,0,Fail
397420.KS,2,Fail
XLES.L,9,Fail
TMV,1140800,Pass
CFA.SI,723276,Pass
DIVY,1520,Fail
NASD.L,8,Fail
XNAS.F,0,Fail
EWP,24300,Fail
ASIA,5937,Fail
QMAR,7703,Fail
BSLNIFTY.BO,14648,Fail
JGST.L,2,Fail
FTWG.L,0,Fail
ACIM,0,Fail
GCSG.L,511,Fail
UC65.L,0,Fail
IBMQ,26219,Fail
HDLV,0,Fail
TSPY,91938,Fail
CRED,729,Fail
267770.KS,42768,Fail
ESGP.L,8,Fail
FLI.TO,1709,Fail
GOVG.L,0,Fail
QMAX.TO,35526,Fail
BSCY,27510,Fail
VGIT,6865200,Pass
EBND,344800,Pass
IBGA,3475,Fail
IFFF.SW,300,Fail
SMIN,159328,Fail
EVAL.L,48,Fail
BUYW,215288,Pass
FTWO,9730,Fail
AQWA.L,10,Fail
IGV,4216400,Pass
DFVX,5388,Fail
XDEV.L,27,Fail
IUKD.L,4646,Fail
TSLS.L,245,Fail
FCUQ.TO,5177,Fail
SELV,2371,Fail
FAUG,34143,Fail
YETH,2391,Fail
BIBL,18006,Fail
EL44.DE,59,Fail
EUN6.DE,76189,Fail
FXN,786700,Pass
ZPRG.DE,22962,Fail
FCAL,11247,Fail
3USS.MI,28916,Fail
XMI.TO,300,Fail
DRMU.TO,146,Fail
GSFP,1361,Fail
HF,2,Fail
ICICIB22.NS,1165938,Pass
JMST,315831,Pass
EMCP.L,0,Fail
FIG,1724,Fail
CVRT,202,Fail
DYTA,2536,Fail
AASI.PA,11805,Fail
DFGR,137887,Fail
XGB.TO,23400,Fail
H4ZV.DE,0,Fail
GAEM,1,Fail
CFYFF,0,Fail
2802.HK,0,Fail
AZTD,0,Fail
GINC.L,80,Fail
CBUP.DE,1,Fail
UC04.L,14,Fail
PWS,237,Fail
FQAL,11118,Fail
TINF.TO,1900,Fail
UEF0.F,0,Fail
SECR,0,Fail
DXJ,166600,Fail
GOVT,40038584,Pass
HMLSF,0,Fail
IBD,41232,Fail
140570.KS,15002,Fail
WCOA.L,1,Fail
OBOR,1500,Fail
AIYY,52737,Fail
LMVF.DE,336,Fail
HYRM,2573,Fail
TMFS,5452,Fail
HPYM.TO,11582,Fail
GHYB,9259,Fail
LIVU.L,0,Fail
GSP,0,Fail
XMLC.DE,7676,Fail
EUSB,16103,Fail
FTRB,38760,Fail
RULE,1449,Fail
3BA.L,0,Fail
PXS.TO,489,Fail
FXP,105000,Fail
OVF,2121,Fail
VWO,14915300,Pass
VWOB,359588,Pass
2GS.L,1,Fail
BELT,153,Fail
XLK,3788500,Pass
DBC,870800,Pass
HQGO,5,Fail
PRAR.F,0,Fail
EDGF,18777,Fail
IQSI,471,Fail
